,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,31,10,21,.323,-2.99,2.37,,0,16,,7,10,,1,9,,1821,1936,,,,.420,.393,.547,48.0,61.9,,8.5,.514,19.6,,.283
2,Akron NCAA,36,23,13,.639,3.37,-2.01,,10,6,,11,3,,8,8,,2403,2171,,,,.358,.394,.522,49.2,54.2,,6.7,.483,17.5,,.253
3,Alabama A&M,27,8,19,.296,-19.72,-11.63,,6,12,,6,7,,2,11,,1761,1954,,,,.407,.290,.471,46.0,49.0,,7.8,.427,19.3,,.271
4,UAB,34,22,12,.647,10.05,3.67,,11,5,,13,1,,7,8,,2461,2244,,,,.346,.349,.546,50.0,48.9,,5.3,.514,14.7,,.244
5,Alabama State NCAA,32,22,10,.688,-6.13,-11.20,,16,2,,10,1,,8,7,,2202,2025,,,,.350,.314,.539,50.3,54.5,,11.4,.517,17.5,,.222
6,Alabama,32,18,14,.563,5.49,3.99,,7,9,,13,5,,2,7,,2349,2254,,,,.372,.250,.522,51.6,42.2,,11.3,.483,17.1,,.262
7,Albany (NY),31,15,16,.484,-6.63,-4.11,,6,10,,10,4,,5,12,,1984,2038,,,,.344,.258,.498,56.3,51.3,,6.3,.455,19.2,,.248
8,Alcorn State,31,6,25,.194,-25.55,-10.26,,4,14,,5,7,,1,15,,2156,2588,,,,.373,.300,.482,42.9,41.6,,4.1,.440,16.9,,.255
9,American NCAA,32,24,8,.750,-0.05,-5.49,,13,1,,13,1,,11,6,,2065,1891,,,,.318,.381,.556,51.9,56.1,,7.3,.537,18.5,,.206
10,Appalachian State,31,13,18,.419,-8.44,-5.44,,9,11,,7,7,,5,9,,2356,2381,,,,.415,.363,.557,55.3,50.9,,8.5,.520,20.4,,.294
11,Arizona State NCAA,35,25,10,.714,16.70,7.82,,11,7,,12,3,,6,4,,2428,2117,,,,.387,.453,.597,51.0,65.9,,6.3,.564,16.5,,.285
12,Arizona NCAA,35,21,14,.600,11.88,8.80,,9,9,,14,3,,2,9,,2529,2421,,,,.375,.290,.567,51.7,55.7,,8.7,.530,16.5,,.276
13,Little Rock,31,23,8,.742,-0.66,-3.72,,15,3,,11,4,,11,3,,2059,1964,,,,.449,.280,.534,51.7,56.8,,9.7,.497,19.4,,.301
14,Arkansas-Pine Bluff,31,13,18,.419,-15.45,-7.48,,11,7,,6,3,,6,14,,1943,2190,,,,.367,.244,.468,50.7,47.8,,7.1,.436,22.6,,.227
15,Arkansas State,30,13,17,.433,-5.42,-4.31,,5,13,,9,5,,4,12,,1996,1948,,,,.339,.262,.510,51.7,55.0,,9.2,.477,17.3,,.231
16,Arkansas,30,14,16,.467,3.79,3.89,,2,14,,12,6,,1,9,,2238,2213,,,,.373,.334,.522,51.1,48.9,,7.6,.493,16.4,,.243
17,Army,30,11,19,.367,-10.11,-7.59,,6,8,,7,7,,4,12,,1741,1823,,,,.292,.279,.499,45.6,61.5,,8.4,.467,20.8,,.202
18,Auburn,36,24,12,.667,9.93,3.56,,10,6,,18,4,,5,5,,2620,2354,,,,.379,.393,.525,49.9,54.6,,10.2,.504,15.8,,.230
19,Austin Peay,33,19,14,.576,-4.20,-3.69,,13,5,,9,5,,9,7,,2485,2449,,,,.379,.328,.561,49.6,54.9,,8.6,.531,16.8,,.261
20,Ball State,31,14,17,.452,-5.50,-3.02,,7,9,,10,6,,3,10,,1795,1852,,,,.384,.251,.483,50.6,51.5,,5.6,.454,17.9,,.235
21,Baylor,39,24,15,.615,12.54,7.93,,5,11,,14,5,,4,7,,2965,2732,,,,.382,.400,.573,49.8,47.3,,9.8,.540,16.2,,.272
22,Belmont,33,20,13,.606,0.39,-1.37,,14,6,,12,3,,8,9,,2528,2334,,,,.339,.484,.555,49.6,63.2,,6.8,.529,17.4,,.232
23,Bethune-Cookman,33,17,16,.515,-12.41,-9.76,,9,7,,8,4,,7,10,,1926,1941,,,,.386,.283,.472,52.6,44.8,,9.2,.437,18.8,,.243
24,Binghamton NCAA,32,23,9,.719,-3.27,-5.62,,13,3,,12,2,,9,6,,2239,2156,,,,.416,.326,.530,48.5,49.2,,11.2,.495,16.9,,.278
25,Boise State,32,19,13,.594,-0.95,0.54,,9,7,,13,3,,6,9,,2329,2315,,,,.294,.316,.553,49.5,58.3,,8.6,.527,18.4,,.205
26,Boston College NCAA,34,22,12,.647,10.36,7.23,,9,7,,15,4,,5,5,,2528,2397,,,,.367,.325,.538,51.9,56.8,,10.4,.497,16.3,,.271
27,Boston University,30,17,13,.567,-2.61,-4.91,,11,5,,9,6,,8,6,,2058,1989,,,,.351,.450,.536,49.1,54.4,,8.8,.505,17.5,,.240
28,Bowling Green State,33,19,14,.576,0.09,-1.75,,11,5,,10,4,,6,9,,2126,2020,,,,.305,.325,.517,51.2,53.5,,10.1,.489,17.2,,.206
29,Bradley,36,21,15,.583,2.48,1.95,,10,8,,14,4,,5,9,,2415,2387,,,,.445,.359,.544,49.5,56.2,,10.3,.499,19.0,,.320
30,Brigham Young NCAA,33,25,8,.758,15.12,4.15,,12,4,,14,2,,9,3,,2544,2150,,,,.356,.332,.579,52.7,59.1,,9.9,.547,14.6,,.260
31,Brown,28,9,19,.321,-12.39,-5.02,,3,11,,8,5,,1,14,,1712,1898,,,,.379,.366,.516,49.6,62.3,,7.9,.484,19.5,,.250
32,Bryant,29,8,21,.276,,,,,,,4,7,,3,14,,1670,1969,,,92.1,.308,.425,.493,44.7,60.4,9.5,7.7,.463,18.7,27.1,.204
33,Bucknell,30,7,23,.233,-11.59,-4.12,,4,10,,6,8,,1,15,,1928,2152,,,,.299,.350,.478,48.6,49.8,,6.2,.444,17.4,,.203
34,Buffalo,33,21,12,.636,1.44,-0.90,,11,5,,9,4,,7,7,,2155,2078,,,,.354,.271,.495,53.9,52.2,,7.7,.464,17.6,,.228
35,Butler NCAA,32,26,6,.813,10.07,2.07,,15,3,,15,2,,11,3,,2168,1854,,,,.430,.454,.559,52.5,59.1,,9.4,.518,17.1,,.311
36,Cal Poly,28,7,21,.250,-8.32,-1.32,,3,13,,3,12,,3,8,,1822,1964,,,,.306,.352,.500,46.7,46.5,,7.6,.465,15.2,,.216
37,Cal State Bakersfield,29,8,21,.276,,,,,,,5,7,,3,14,,1875,2094,,,97.3,.357,.354,.488,47.1,47.5,8.2,6.0,.449,16.6,34.2,.242
38,Cal State Fullerton,32,15,17,.469,-4.20,-1.26,,7,9,,7,6,,7,7,,2345,2356,,,,.325,.398,.537,47.0,51.1,,9.0,.504,16.2,,.232
39,Cal State Northridge NCAA,31,17,14,.548,2.65,-0.14,,11,5,,10,2,,5,11,,2282,2178,,,,.338,.337,.544,52.4,52.4,,7.9,.514,20.7,,.235
40,UC Davis,32,13,19,.406,-4.13,-3.40,,7,9,,5,8,,6,9,,2338,2372,,,,.379,.392,.576,48.2,62.8,,5.7,.532,18.3,,.295
41,UC Irvine,31,12,19,.387,-5.80,-1.80,,8,8,,6,7,,5,10,,2028,2134,,,,.316,.322,.532,47.5,54.9,,5.2,.492,15.8,,.239
