,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,26,10,16,.385,-4.00,2.52,,2,12,,,,,,,,1981,2085,,,629,1703,.369,233,738,.316,490,700,.700,443,1086,281,209,79,377,585
2,Akron,27,18,9,.667,5.09,1.06,,12,6,,,,,,,,2031,1905,,,676,1497,.452,160,439,.364,519,692,.750,302,880,386,217,69,363,462
3,Alabama A&M,27,10,17,.370,,,,0,0,,,,,,,,2088,2279,,,713,1897,.376,196,631,.311,466,721,.646,456,1137,328,287,95,,612
4,UAB NCAA,32,20,12,.625,8.95,5.48,,10,6,,,,,,,,2368,2257,,,855,1889,.453,155,480,.323,503,740,.680,441,1237,465,293,88,545,631
5,Alabama State,27,11,16,.407,-15.25,-9.77,,8,8,,,,,,,,1815,1891,,,619,1496,.414,124,397,.312,453,703,.644,406,1045,296,243,62,522,485
6,Alabama,32,17,15,.531,5.85,6.79,,6,10,,,,,,,,2144,2175,,,782,1810,.432,134,400,.335,446,626,.712,446,1215,383,233,115,536,626
7,Alcorn State NCAA,30,23,7,.767,-2.76,-10.43,,14,2,,,,,,,,2274,2003,,,796,1902,.419,186,576,.323,496,772,.642,552,1365,404,329,118,579,593
8,American,28,7,21,.250,-8.90,-1.55,,2,14,,,,,,,,1805,1951,,,663,1694,.391,119,400,.298,360,566,.636,456,1132,322,235,100,525,493
9,Appalachian State,29,21,8,.724,-0.50,-5.35,,13,3,,,,,,,,2168,1916,,,776,1661,.467,137,371,.369,479,714,.671,365,1076,465,307,102,457,546
10,Arizona State,30,14,16,.467,9.06,8.27,,6,12,,,,,,,,2236,2167,,,804,1820,.442,177,532,.333,451,648,.696,386,1101,512,249,77,460,595
11,Arizona NCAA,29,22,7,.759,15.31,8.35,,13,5,,,,,,,,2383,2181,,,820,1754,.468,143,409,.350,600,845,.710,437,1208,419,213,93,487,522
12,Little Rock,27,12,15,.444,-7.74,-2.94,,5,9,,,,,,,,1790,1904,,,648,1391,.466,174,458,.380,320,463,.691,255,861,343,128,62,389,381
13,Arkansas-Pine Bluff,27,3,24,.111,-27.13,-8.00,,1,15,,,,,,,,1793,2235,,,685,1760,.389,119,448,.266,304,514,.591,377,1008,331,245,94,483,535
