,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
262,UT Arlington,27,12,15,.444,-15.28,-8.16,,8,8,,,,,,,,1772,1921,,,637,1540,.414,180,530,.340,318,529,.601,384,976,333,176,56,421,469
263,TCU,35,22,13,.629,10.36,4.02,,7,9,,,,,,,,2931,2709,,,1074,2445,.439,236,674,.350,547,750,.729,581,1462,556,287,159,476,663
264,UTEP,26,13,13,.500,2.45,5.32,,6,10,,,,,,,,1746,1734,,,575,1368,.420,147,429,.343,449,618,.727,300,910,321,141,73,346,517
265,Texas-Rio Grande Valley,28,3,25,.107,-17.34,-2.61,,1,17,,,,,,,,1554,1902,,,544,1417,.384,136,481,.283,330,549,.601,355,845,337,187,36,478,520
266,UTSA,26,9,17,.346,-14.47,-8.26,,4,12,,,,,,,,1946,2069,,,683,1532,.446,163,442,.369,417,627,.665,320,913,404,221,73,445,560
267,Texas Southern,28,12,16,.429,-15.22,-9.99,,6,8,,,,,,,,2014,2130,,,703,1752,.401,174,617,.282,434,647,.671,431,1081,350,190,51,415,584
268,Texas State NCAA,29,16,13,.552,-7.54,-7.72,,10,6,,,,,,,,2045,2014,,,698,1579,.442,162,447,.362,487,690,.706,356,1098,331,186,64,478,627
269,Texas Tech,28,19,9,.679,12.51,6.73,,10,6,,,,,,,,2243,2081,,,779,1646,.473,201,495,.406,484,683,.709,371,1119,453,161,97,450,491
270,Texas NCAA,30,18,12,.600,12.34,9.47,,10,6,,,,,,,,2290,2204,,,781,1891,.413,222,690,.322,506,741,.683,455,1165,384,280,132,462,686
271,Toledo,27,13,14,.481,-0.03,-0.07,,6,12,,,,,,,,1940,1906,,,655,1409,.465,167,448,.373,463,678,.683,342,978,355,146,59,466,523
272,Towson,28,9,19,.321,-7.54,-3.15,,5,13,,,,,,,,2085,2210,,,719,1534,.469,153,437,.350,494,708,.698,337,988,392,216,58,511,581
273,Troy,27,16,11,.593,-9.07,-7.03,,10,6,,,,,,,,2137,2180,,,758,1816,.417,239,692,.345,382,570,.670,379,1073,386,215,80,422,452
274,Tulane,31,20,11,.645,7.98,3.01,,11,3,,,,,,,,2297,2093,,,823,1726,.477,166,495,.335,485,763,.636,387,1117,502,323,173,543,570
275,Tulsa NCAA,34,24,10,.706,15.00,5.53,,12,4,,,,,,,,2463,2141,,,844,1925,.438,222,650,.342,553,839,.659,516,1393,516,270,127,555,642
276,UCLA NCAA,32,24,8,.750,16.62,10.43,,15,3,,,,,,,,2558,2360,,,932,1791,.520,125,364,.343,569,848,.671,386,1207,533,259,123,574,566
277,Utah State,29,20,9,.690,4.29,-0.94,,12,4,,,,,,,,1990,1781,,,695,1451,.479,106,318,.333,494,724,.682,368,1085,360,138,26,411,466
278,Utah NCAA,33,29,4,.879,17.58,5.46,,15,1,,,,,,,,2456,2035,,,886,1785,.496,166,463,.359,518,714,.725,357,1250,574,205,108,464,596
279,Valparaiso NCAA,31,24,7,.774,3.71,-4.98,,13,3,,,,,,,,2356,2048,,,838,1782,.470,187,481,.389,493,732,.673,443,1184,481,247,86,472,674
280,Vanderbilt NCAA,31,19,12,.613,11.55,7.78,,9,7,,,,,,,,2156,2030,,,708,1593,.444,177,514,.344,563,797,.706,329,987,458,301,60,485,520
