,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
37,Canisius,35,21,14,.600,2.64,1.07,,10,4,,,,,,,,2441,2386,,,,.366,.332,.515,48.2,59.2,,7.5,.472,17.1,,.266
38,Centenary (LA),27,10,17,.370,-11.96,-6.00,,7,9,,,,,,,,2174,2299,,,,.303,.350,.519,44.9,60.2,,8.3,.487,15.5,,.214
39,Central Connecticut State,26,8,18,.308,-17.73,-8.46,,6,12,,,,,,,,1815,2065,,,,.357,.208,.505,53.3,56.1,,16.6,.477,23.5,,.228
40,Central Florida,27,11,16,.407,-9.52,-6.60,,7,9,,,,,,,,2037,2104,,,,.309,.237,.519,50.7,54.1,,8.2,.495,19.1,,.203
41,Central Michigan,26,3,23,.115,-13.68,1.74,,0,18,,,,,,,,1662,1992,,,,.334,.249,.491,45.2,42.4,,3.5,.457,18.6,,.225
42,Charleston Southern,29,19,10,.655,-4.46,-6.49,,12,4,,,,,,,,2149,2090,,,,.374,.245,.524,51.6,51.2,,8.2,.490,18.5,,.255
43,Charlotte NCAA,28,19,9,.679,9.28,3.56,,8,4,,,,,,,,2087,1927,,,,.374,.258,.530,54.2,58.1,,13.8,.485,17.4,,.279
44,Chattanooga NCAA,30,19,11,.633,-1.49,-4.56,,11,3,,,,,,,,2294,2170,,,,.420,.387,.549,50.5,58.8,,8.6,.513,19.2,,.291
45,Chicago State,26,6,20,.231,-20.14,-4.72,,6,12,,,,,,,,1972,2382,,,,.311,.332,.504,42.0,47.4,,5.2,.480,18.3,,.197
46,Cincinnati NCAA,34,22,12,.647,18.60,8.87,,7,5,,,,,,,,2754,2423,,,,.373,.312,.546,54.8,55.2,,8.2,.520,17.3,,.245
47,The Citadel,27,11,16,.407,-12.89,-5.39,,6,8,,,,,,,,1837,1948,,,,.355,.333,.508,47.8,56.3,,6.5,.474,18.2,,.238
48,Clemson,28,15,13,.536,10.40,8.80,,5,11,,,,,,,,1794,1749,,,,.296,.389,.552,50.5,61.3,,6.5,.527,16.6,,.206
49,Cleveland State,27,10,17,.370,-8.60,-2.52,,3,11,,,,,,,,1992,2114,,,,.397,.178,.508,51.8,55.4,,7.8,.474,20.9,,.258
50,Coastal Carolina,26,6,20,.231,-14.87,-4.58,,3,13,,,,,,,,1857,2075,,,,.321,.310,.489,48.2,52.7,,5.6,.456,18.0,,.216
51,Colgate NCAA,30,17,13,.567,-5.50,-4.94,,11,3,,,,,,,,2296,2313,,,,.384,.294,.532,50.9,47.1,,13.2,.507,18.8,,.246
52,College of Charleston,29,23,6,.793,2.99,-5.01,,15,1,,,,,,,,2075,1819,,,,.359,.250,.517,52.7,56.2,,11.0,.487,15.4,,.236
53,Colorado State,31,17,14,.548,3.34,3.80,,7,11,,,,,,,,2321,2305,,,,.462,.310,.546,53.5,57.1,,9.8,.497,18.0,,.337
54,Colorado,28,15,13,.536,8.40,7.37,,5,9,,,,,,,,2227,2198,,,,.384,.273,.533,48.2,58.4,,12.1,.504,18.1,,.252
55,Columbia,26,4,22,.154,-22.39,-8.07,,1,13,,,,,,,,1591,1922,,,,.387,.263,.488,49.3,57.0,,7.1,.452,25.5,,.250
56,Connecticut NCAA,33,28,5,.848,19.23,7.65,,16,2,,,,,,,,2837,2455,,,,.343,.270,.561,53.1,61.5,,7.4,.524,16.9,,.256
57,Coppin State,31,21,10,.677,-2.12,-8.36,,15,1,,,,,,,,2278,2059,,,,.342,.374,.530,51.3,49.8,,9.7,.487,15.8,,.257
58,Cornell,26,9,17,.346,-20.09,-8.73,,4,10,,,,,,,,1823,2091,,,,.336,.292,.488,49.4,50.8,,7.6,.459,19.2,,.213
