,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,26,10,16,.385,-4.00,2.52,,2,12,,,,,,,,1981,2085,,,99.9,.411,.433,.487,50.6,44.7,10.5,7.1,.438,15.6,37.1,.288
2,Akron,27,18,9,.667,5.09,1.06,,12,6,,,,,,,,2031,1905,,,107.5,.462,.293,.556,48.2,57.1,11.5,6.3,.505,16.6,33.2,.347
3,Alabama A&M,27,10,17,.370,,,,0,0,,,,,,,,2088,2279,,,,.380,.333,.466,45.7,46.0,,7.4,.428,,34.4,.246
4,UAB NCAA,32,20,12,.625,8.95,5.48,,10,6,,,,,,,,2368,2257,,,101.2,.392,.254,.528,51.4,54.4,12.5,7.1,.494,19.6,37.7,.266
5,Alabama State,27,11,16,.407,-15.25,-9.77,,8,8,,,,,,,,1815,1891,,,94.0,.470,.265,.496,52.0,47.8,12.6,5.7,.455,22.2,40.1,.303
6,Alabama,32,17,15,.531,5.85,6.79,,6,10,,,,,,,,2144,2175,,,96.9,.346,.221,.509,51.1,49.0,10.5,9.4,.469,20.3,37.9,.246
7,Alcorn State NCAA,30,23,7,.767,-2.76,-10.43,,14,2,,,,,,,,2274,2003,,,99.4,.406,.303,.501,54.7,50.8,14.4,9.7,.467,20.3,43.4,.261
8,American,28,7,21,.250,-8.90,-1.55,,2,14,,,,,,,,1805,1951,,,89.1,.334,.236,.460,52.7,48.6,11.6,8.8,.427,21.1,39.5,.213
9,Appalachian State,29,21,8,.724,-0.50,-5.35,,13,3,,,,,,,,2168,1916,,,103.4,.430,.223,.542,52.1,59.9,14.6,9.1,.508,18.6,35.9,.288
10,Arizona State,30,14,16,.467,9.06,8.27,,6,12,,,,,,,,2236,2167,,,101.8,.356,.292,.525,51.3,63.7,11.3,6.5,.490,17.8,34.6,.248
11,Arizona NCAA,29,22,7,.759,15.31,8.35,,13,5,,,,,,,,2383,2181,,,108.6,.482,.233,.553,55.4,51.1,9.7,7.6,.508,18.4,42.7,.342
12,Little Rock,27,12,15,.444,-7.74,-2.94,,5,9,,,,,,,,1790,1904,,,102.4,.333,.329,.556,48.8,52.9,7.3,6.0,.528,19.5,30.9,.230
13,Arkansas-Pine Bluff,27,3,24,.111,-27.13,-8.00,,1,15,,,,,,,,1793,2235,,,84.3,.292,.255,.447,45.2,48.3,11.5,7.2,.423,19.4,32.2,.173
14,Arkansas State NCAA,30,18,12,.600,3.32,-0.72,,9,5,,,,,,,,2206,2061,,,102.7,.375,.279,.536,48.3,56.0,12.3,8.5,.502,17.9,33.6,.258
15,Arkansas NCAA,34,23,11,.676,12.97,6.14,,9,7,,,,,,,,2675,2443,,73.5,106.7,.286,.366,.534,48.0,57.4,13.2,10.9,.511,16.5,36.2,.190
16,Army,27,8,19,.296,-22.46,-6.62,,4,8,,,,,,,,1615,1968,,,83.9,.327,.283,.479,44.2,53.3,10.8,6.1,.436,22.2,26.4,.234
17,Auburn NCAA,33,29,4,.879,24.60,5.00,,14,2,,,,,,,,2680,2033,,72.2,112.5,.341,.299,.514,55.8,47.3,13.7,9.1,.486,14.0,46.2,.222
18,Austin Peay,27,11,16,.407,-7.84,-4.92,,9,9,,,,,,,,1959,2037,,,102.9,.360,.317,.541,51.0,52.0,9.8,8.9,.514,19.8,37.0,.239
