,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
25,Bradley,29,15,14,.517,4.23,2.12,,9,9,,,,,,,,1872,1772,,,97.2,.433,.224,.522,52.2,66.0,10.2,10.8,.482,19.6,33.3,.295
26,Brigham Young,30,9,21,.300,-0.11,6.12,,4,10,,,,,,,,1906,2093,,,93.4,.477,.406,.495,49.8,60.3,9.5,7.1,.437,20.1,34.3,.340
27,Brown,26,6,20,.231,-17.26,-5.95,,3,11,,,,,,,,1478,1772,,,87.1,.414,.308,.470,48.1,54.2,7.4,4.1,.430,19.5,28.4,.267
28,Bucknell,28,13,15,.464,-6.82,-6.82,,8,4,,,,,,,,1947,1922,,,101.1,.396,.348,.548,51.1,51.6,9.1,9.0,.515,21.0,34.6,.272
29,Buffalo,28,15,13,.536,-6.20,-6.39,,9,7,,,,,,,,2098,2033,,,106.4,.445,.321,.550,48.1,62.3,8.9,5.7,.504,16.0,30.7,.324
30,Butler NCAA,33,22,11,.667,4.87,2.77,,8,6,,,,,,,,2228,2052,,,101.0,.566,.291,.535,53.3,54.8,8.0,7.9,.491,19.1,35.1,.375
31,Cal Poly,28,14,14,.500,-7.96,-3.48,,7,9,,,,,,,,2367,2398,,,107.3,.450,.372,.554,46.1,52.0,9.6,5.1,.515,16.4,31.3,.316
32,Cal State Fullerton,28,12,16,.429,-3.54,-0.98,,6,10,,,,,,,,2056,2085,,,97.4,.406,.300,.515,48.4,50.5,10.6,8.4,.489,19.5,35.0,.250
33,Cal State Northridge,28,12,16,.429,-1.35,-3.27,,7,9,,,,,,,,2356,2242,,,105.8,.425,.365,.557,52.0,58.6,10.2,6.1,.521,19.4,37.9,.296
34,UC Irvine,27,9,18,.333,-8.07,0.49,,6,10,,,,,,,,1681,1877,,,91.2,.367,.366,.509,45.2,58.2,12.1,5.2,.462,21.3,27.7,.271
35,UC Santa Barbara,26,7,19,.269,-7.47,-0.31,,4,12,,,,,,,,1861,1977,,,100.0,.347,.253,.535,52.0,53.3,9.1,5.8,.501,20.7,38.2,.243
36,California,27,12,15,.444,8.33,7.95,,8,10,,,,,,,,1899,1876,,,96.8,.392,.208,.507,49.8,46.5,11.6,10.0,.470,18.4,34.0,.264
37,Campbell,27,10,17,.370,-18.24,-7.74,,4,12,,,,,,,,1726,1921,,,93.3,.376,.369,.501,47.3,61.5,9.4,10.9,.469,21.6,31.6,.244
38,Canisius,27,13,14,.481,-3.12,-0.49,,9,9,,,,,,,,1844,1915,,,103.1,.405,.303,.521,49.8,60.3,8.1,6.5,.485,17.7,38.0,.273
39,Centenary (LA),30,10,20,.333,-12.14,-7.41,,8,8,,,,,,,,2072,2214,,,,.421,.273,.519,49.5,52.1,,6.5,.489,,,.267
40,Central Connecticut State,26,4,22,.154,-17.57,-6.29,,3,13,,,,,,,,1705,1996,,,90.2,.291,.282,.487,49.1,51.0,10.5,9.0,.457,22.2,36.0,.195
41,Central Florida,28,17,11,.607,-5.09,-7.94,,11,5,,,,,,,,2130,1998,,,102.6,.376,.233,.539,52.2,54.4,12.4,10.1,.511,19.2,37.5,.249
42,Central Michigan,26,5,21,.192,-11.57,2.47,,3,15,,,,,,,,1788,2117,,,90.1,.419,.329,.527,46.5,52.3,7.7,6.7,.489,24.1,28.7,.285
43,Charleston Southern,27,5,22,.185,-20.46,-8.34,,2,10,,,,,,,,1883,2127,,,94.8,.374,.236,.530,49.5,46.0,8.5,6.6,.504,23.0,34.2,.239
44,Charlotte NCAA,31,20,11,.645,12.21,6.72,,13,3,,,,,,,,2283,2113,,,103.6,.356,.281,.523,51.4,58.9,12.1,6.0,.486,17.0,36.4,.252
45,Chattanooga,28,13,15,.464,-8.71,-4.84,,7,7,,,,,,,,1771,1809,,,101.6,.297,.355,.501,50.9,59.4,10.1,4.5,.468,17.3,40.2,.206
46,Chicago State,27,2,25,.074,-25.23,-3.60,,2,14,,,,,,,,1837,2421,,,87.9,.273,.277,.438,45.2,45.3,11.5,7.2,.411,17.3,35.4,.168
47,Cincinnati NCAA,33,27,6,.818,17.85,4.97,,14,2,,,,,,,,2510,2085,,,108.0,.476,.272,.543,55.8,48.1,11.1,11.4,.504,18.5,44.6,.323
48,The Citadel,28,15,13,.536,-8.53,-9.03,,6,8,,,,,,,,1816,1741,,,98.9,.405,.237,.522,51.2,58.7,8.3,10.7,.480,18.6,34.9,.284
49,Clemson NCAA,32,18,14,.563,17.17,10.33,,7,9,,,,,,,,2309,2090,,,108.0,.421,.272,.540,51.2,57.5,12.0,8.8,.518,15.9,36.5,.259
50,Cleveland State,27,12,15,.444,-2.62,3.27,,6,8,,,,,,,,1743,1904,,,90.8,.433,.262,.485,51.2,46.6,10.6,8.4,.443,21.8,37.8,.284
51,Coastal Carolina,27,8,19,.296,-19.47,-9.30,,4,8,,,,,,,,1675,1868,,,90.8,.359,.309,.483,48.7,53.0,12.9,3.9,.442,21.3,37.6,.248
52,Colgate,28,10,18,.357,-9.74,-6.77,,5,7,,,,,,,,2075,2158,,,99.7,.331,.364,.511,47.2,53.7,12.8,5.9,.473,17.3,32.6,.237
53,College of Charleston NCAA,30,24,6,.800,4.44,-9.03,,14,2,,,,,,,,2102,1662,,,105.1,.363,.179,.527,51.2,55.4,16.5,11.1,.492,16.7,37.7,.252
54,Colorado State,29,20,9,.690,6.28,1.68,,8,6,,,,,,,,1999,1802,,,105.9,.428,.282,.538,52.5,64.0,10.3,12.9,.503,16.5,36.3,.287
55,Colorado,27,13,14,.481,2.15,4.45,,7,9,,,,,,,,1928,1970,,,99.5,.402,.269,.494,51.3,63.1,9.1,9.0,.450,16.5,37.5,.277
56,Columbia,26,11,15,.423,-13.46,-8.14,,6,8,,,,,,,,1487,1616,,,89.7,.400,.379,.512,48.7,59.3,11.1,6.2,.483,21.8,27.0,.251
57,Connecticut NCAA,37,32,5,.865,20.67,7.89,,15,3,,,,,,,,2836,2363,,,109.6,.380,.282,.549,52.7,52.7,12.1,9.4,.509,16.9,39.9,.279
58,Coppin State,29,21,8,.724,-2.39,-10.28,,17,1,,,,,,,,2251,2022,,,101.4,.415,.324,.532,48.8,38.7,13.5,5.2,.486,18.5,34.3,.303
59,Cornell,26,9,17,.346,-11.65,-8.21,,6,8,,,,,,,,1629,1699,,,94.8,.325,.271,.490,53.5,55.0,8.7,12.0,.463,19.5,37.5,.206
60,Creighton,28,18,10,.643,6.28,1.21,,12,6,,,,,,,,2100,1958,,,103.4,.413,.352,.552,51.1,59.5,12.9,11.9,.519,19.5,33.4,.284
61,Dartmouth,26,7,19,.269,-15.62,-7.12,,4,10,,,,,,,,1474,1695,,,89.6,.331,.334,.486,49.6,53.4,7.5,8.3,.460,21.0,32.0,.206
62,Davidson NCAA,30,20,10,.667,-0.71,-3.74,,13,2,,,,,,,,2138,1987,,,100.8,.374,.345,.526,52.2,63.2,10.5,5.4,.493,19.8,38.0,.252
63,Dayton,33,21,12,.636,8.80,4.04,,11,5,,,,,,,,2511,2354,,,108.6,.440,.254,.542,53.3,51.5,7.9,4.6,.498,17.0,41.5,.316
64,Delaware State,27,9,18,.333,-22.43,-10.03,,7,11,,,,,,,,1889,2165,,,89.3,.423,.213,.493,48.0,44.3,9.7,7.7,.456,23.3,37.5,.273
65,Delaware NCAA,30,20,10,.667,-1.92,-3.42,,12,6,,,,,,,,2191,2111,,,99.0,.408,.286,.538,49.3,55.4,10.8,7.2,.496,19.8,30.0,.292
66,DePaul,30,7,23,.233,-2.43,7.50,,3,13,,,,,,,,1777,2063,,,90.8,.292,.350,.446,46.0,45.7,12.7,6.3,.410,16.6,35.2,.196
67,Detroit Mercy NCAA,31,25,6,.806,9.86,0.49,,12,2,,,,,,,,2314,1957,,,110.5,.361,.313,.558,52.0,53.5,10.9,8.5,.520,16.5,38.1,.267
68,Drake,27,3,24,.111,-14.06,1.60,,0,18,,,,,,,,1646,2033,,,87.1,.340,.381,.490,44.8,62.5,12.5,4.0,.459,22.0,28.0,.220
69,Drexel,28,13,15,.464,-3.77,-2.92,,10,8,,,,,,,,1870,1894,,,99.5,.364,.269,.499,49.2,59.1,6.5,3.7,.463,15.6,32.3,.245
70,Duke NCAA,36,32,4,.889,29.55,9.32,,15,1,,,,,,,,3082,2308,,,116.6,.421,.324,.564,52.0,47.5,12.8,11.9,.534,14.1,39.7,.284
71,Duquesne,30,11,19,.367,-0.57,4.66,,5,11,,,,,,,,2173,2330,,,96.1,.428,.266,.513,49.3,52.6,11.5,7.9,.486,21.7,38.7,.262
72,East Carolina,27,10,17,.370,-3.35,-1.31,,5,11,,,,,,,,1821,1835,,,102.4,.369,.313,.519,51.4,50.2,7.4,7.0,.485,17.6,36.5,.251
73,East Tennessee State,27,11,16,.407,-11.59,-8.39,,6,9,,,,,,,,1779,1807,,,96.4,.446,.248,.517,50.2,54.3,9.5,4.1,.483,20.5,34.3,.287
74,Eastern Illinois,27,16,11,.593,-4.89,-5.89,,13,5,,,,,,,,2009,1933,,,100.8,.369,.301,.518,50.8,59.9,10.8,5.6,.485,17.6,34.9,.247
75,Eastern Kentucky,27,10,17,.370,-11.11,-4.95,,8,10,,,,,,,,1897,2053,,,94.0,.391,.307,.495,53.6,50.2,11.9,5.9,.457,21.7,39.7,.259
76,Eastern Michigan NCAA,30,20,10,.667,6.70,2.67,,13,5,,,,,,,,2394,2266,,,109.0,.286,.296,.545,50.7,52.0,10.7,8.7,.525,16.3,36.9,.189
77,Eastern Washington,27,16,11,.593,-6.20,-3.16,,10,6,,,,,,,,2053,2130,,,100.5,.360,.246,.517,50.1,53.4,11.0,6.2,.490,17.6,35.3,.230
78,Evansville,30,15,15,.500,1.71,-0.36,,9,9,,,,,,,,2099,2005,,,104.2,.393,.326,.580,47.5,62.4,8.0,5.5,.539,19.1,25.4,.298
79,Fairfield,27,12,15,.444,-2.86,-1.83,,7,11,,,,,,,,1896,1924,,,100.5,.479,.260,.518,52.0,54.0,11.5,12.1,.482,19.7,40.3,.309
80,Fairleigh Dickinson NCAA,30,23,7,.767,2.90,-5.38,,13,3,,,,,,,,2511,2253,,,106.7,.454,.339,.548,55.6,51.5,10.4,13.7,.514,20.6,44.8,.306
81,Florida A&M,28,11,17,.393,-16.14,-11.82,,8,10,,,,,,,,1998,2117,,,91.3,.437,.209,.480,50.4,42.0,9.7,13.8,.453,21.8,38.6,.253
82,Florida Atlantic,27,5,22,.185,-19.25,-3.21,,5,11,,,,,,,,1671,2108,,,87.6,.349,.359,.492,47.0,51.5,8.5,4.1,.454,22.9,31.1,.239
83,Florida International,29,21,8,.724,2.54,-5.67,,13,3,,,,,,,,2533,2295,,,109.8,.391,.354,.551,49.5,52.6,14.1,5.3,.525,15.5,35.1,.258
84,Florida State NCAA,32,18,14,.563,12.93,10.78,,6,10,,,,,,,,2287,2218,,,100.1,.399,.239,.525,53.4,55.1,10.4,12.6,.492,20.0,39.3,.266
85,Florida,29,14,15,.483,8.97,6.42,,6,10,,,,,,,,2208,2134,,,100.5,.347,.413,.550,48.0,56.2,12.3,10.5,.526,21.1,33.3,.229
86,Fordham,27,6,21,.222,-3.39,3.73,,2,14,,,,,,,,1762,1954,,,94.3,.354,.321,.492,46.9,56.4,8.6,7.2,.449,18.6,32.8,.250
87,Fresno State,34,21,13,.618,9.32,5.63,,10,4,,,,,,,,2835,2629,,,105.7,.313,.358,.526,48.9,65.2,13.2,12.4,.508,16.3,36.9,.192
88,Furman,29,9,20,.310,-15.16,-8.12,,5,9,,,,,,,,1790,1954,,,90.8,.394,.220,.496,52.2,53.3,9.1,5.0,.459,22.2,36.0,.260
89,George Mason,27,9,18,.333,-6.24,-0.58,,6,10,,,,,,,,1697,1850,,,92.6,.354,.301,.491,46.3,50.0,11.8,8.1,.466,19.5,32.0,.216
90,George Washington NCAA,33,24,9,.727,9.91,4.76,,11,5,,,,,,,,2414,2244,,,102.5,.464,.236,.520,53.0,58.3,9.9,6.5,.484,18.1,38.9,.301
91,Georgetown,31,16,15,.516,8.75,5.99,,6,12,,,,,,,,2223,2052,,,100.8,.407,.173,.493,53.8,47.4,16.0,8.6,.460,18.3,44.6,.257
92,Georgia Southern,28,10,18,.357,-14.22,-6.93,,4,10,,,,,,,,1824,1912,,,93.8,.315,.380,.515,49.6,54.5,13.5,6.1,.490,23.6,37.7,.204
93,Georgia State,28,16,12,.571,-5.40,-8.90,,11,5,,,,,,,,2096,1960,,,106.1,.314,.278,.550,48.4,49.6,10.0,8.4,.517,17.6,35.3,.230
94,Georgia Tech,33,19,14,.576,12.82,8.70,,6,10,,,,,,,,2518,2382,,,102.2,.382,.357,.531,50.8,56.9,10.3,13.1,.498,19.9,39.8,.261
95,Georgia,35,20,15,.571,13.11,9.03,,7,9,,,,,,,,2654,2511,,,105.3,.359,.371,.524,51.1,52.0,10.0,7.8,.488,16.7,38.2,.251
96,Gonzaga,34,24,10,.706,10.50,1.72,,10,4,,,,,,,,2729,2357,,,112.3,.367,.333,.570,51.4,54.4,9.5,8.5,.541,16.2,35.4,.258
97,Grambling,28,16,12,.571,-13.35,-9.79,,10,6,,,,,,,,2030,2058,,,98.7,.366,.252,.519,49.5,52.0,11.4,7.5,.483,20.8,40.4,.252
98,Green Bay,29,17,12,.586,3.93,-0.57,,7,7,,,,,,,,1868,1737,,,102.4,.463,.241,.567,46.7,59.5,10.0,10.3,.518,18.9,25.7,.348
99,Hampton,26,14,12,.538,-14.61,-11.46,,11,7,,,,,,,,1770,1852,,,94.6,.453,.330,.518,52.8,54.9,7.9,10.1,.474,22.8,38.8,.312
100,Hartford,27,15,12,.556,-4.65,-4.73,,11,7,,,,,,,,2138,2116,,,101.8,.463,.276,.555,47.9,53.1,12.6,6.3,.506,18.5,28.2,.343
101,Harvard,26,13,13,.500,-8.08,-8.28,,6,8,,,,,,,,1812,1791,,,104.8,.289,.307,.546,49.3,51.9,10.4,6.1,.516,17.5,31.7,.210
102,Hawaii,30,21,9,.700,11.22,4.38,,8,6,,,,,,,,2329,2124,,,105.4,.386,.239,.543,50.1,55.8,10.7,8.3,.504,18.0,38.6,.276
103,Hofstra,31,19,12,.613,-1.79,-4.48,,11,7,,,,,,,,2286,2180,,,100.4,.409,.268,.520,51.7,57.2,10.6,9.8,.484,18.1,35.1,.274
104,Holy Cross,27,7,20,.259,-16.58,-8.25,,3,9,,,,,,,,1851,2073,,69.4,96.2,.344,.316,.506,49.0,52.4,8.4,6.3,.465,18.6,31.6,.246
105,Houston,29,9,20,.310,-7.26,3.06,,2,14,,,,,,,,1843,2114,,,88.6,.337,.236,.498,53.0,51.6,7.9,7.3,.461,25.5,40.6,.233
106,Howard,28,8,20,.286,-20.21,-12.21,,5,13,,,,,,,,1937,2161,,,93.3,.421,.258,.489,49.3,50.9,8.5,7.9,.450,20.9,38.5,.273
107,Idaho State,26,6,20,.231,-17.52,-4.04,,2,14,,,,,,,,1791,2129,,,94.3,.401,.292,.494,47.6,51.2,10.1,6.0,.470,19.7,34.2,.236
108,Idaho,27,15,12,.556,2.09,0.73,,9,7,,,,,,,,1910,1852,,,102.0,.394,.223,.538,52.6,48.3,10.0,5.3,.500,19.8,37.8,.277
109,Illinois-Chicago NCAA,28,22,6,.786,9.21,0.67,,12,2,,,,,,,,2090,1851,,,110.2,.389,.280,.537,51.4,55.5,8.9,6.8,.494,15.4,38.9,.285
110,Illinois State NCAA,31,25,6,.806,9.64,3.41,,16,2,,,,,,,,2363,2141,,,106.2,.340,.325,.564,50.2,66.4,11.6,6.8,.540,18.4,32.4,.229
111,Illinois NCAA,33,23,10,.697,15.21,8.97,,13,3,,,,,,,,2301,2095,,,102.4,.339,.317,.530,49.4,56.7,10.9,7.4,.500,17.0,32.4,.231
112,Indiana State,27,16,11,.593,3.46,0.64,,10,8,,,,,,,,1875,1799,,,101.1,.411,.291,.541,49.4,56.6,12.2,9.1,.505,19.1,31.6,.284
113,Indiana NCAA,32,20,12,.625,14.18,10.71,,9,7,,,,,,,,2457,2346,,,107.1,.392,.273,.578,49.2,64.6,10.2,7.8,.542,19.0,32.5,.286
114,Iona NCAA,33,27,6,.818,8.55,-2.08,,15,3,,,,,,,,2652,2295,,,109.0,.416,.298,.551,50.3,54.7,13.4,14.7,.517,17.3,39.2,.286
115,Iowa State,30,12,18,.400,0.76,6.01,,5,11,,,,,,,,1910,2031,,,93.7,.446,.230,.509,50.9,53.7,8.0,7.3,.474,21.5,35.3,.286
116,Iowa,31,20,11,.645,17.25,6.05,,9,7,,,,,,,,2486,2091,,,110.4,.394,.297,.573,54.0,64.5,14.0,9.5,.540,19.1,39.4,.280
117,Jackson State,27,14,13,.519,-8.58,-6.84,,11,5,,,,,,,,1885,1834,,,95.7,.411,.276,.494,49.4,45.8,11.7,10.4,.456,19.3,37.3,.269
118,Jacksonville State,26,12,14,.462,-16.85,-11.26,,6,10,,,,,,,,1958,2065,,,99.6,.411,.414,.532,48.0,49.1,8.3,5.3,.491,19.5,33.1,.289
119,Jacksonville,27,8,19,.296,-7.84,-2.76,,6,12,,,,,,,,1776,1913,,,91.1,.464,.302,.504,49.6,44.2,11.8,7.5,.471,22.6,35.2,.288
120,James Madison,27,11,16,.407,-5.01,-1.30,,6,10,,,,,,,,1729,1829,,,97.6,.387,.310,.503,50.4,44.4,8.4,8.9,.466,19.4,38.5,.260
121,Kansas State,29,17,12,.586,9.39,3.42,,7,9,,,,,,,,2161,1988,,,104.1,.330,.280,.538,52.6,61.7,10.4,10.3,.508,18.1,36.7,.230
122,Kansas NCAA,39,35,4,.897,22.83,6.51,,15,1,,,,,,,,3300,2628,,,112.9,.332,.241,.562,55.8,59.7,10.8,12.3,.538,17.5,42.6,.226
123,Kent State,30,13,17,.433,-3.76,0.68,,9,9,,,,,,,,2082,2170,,,96.3,.362,.316,.516,51.0,61.8,11.1,7.0,.496,21.2,36.8,.217
124,Kentucky NCAA,39,35,4,.897,22.95,9.85,,14,2,,,,,,,,3123,2612,,,111.4,.339,.283,.558,55.4,59.5,12.2,15.9,.534,17.3,42.5,.229
125,La Salle,27,9,18,.333,-3.01,3.77,,5,11,,,,,,,,1928,2111,,,102.7,.376,.412,.510,48.2,58.7,9.9,7.0,.473,16.9,38.0,.256
126,Lafayette,28,19,9,.679,-4.42,-8.19,,10,2,,,,,,,,2096,1904,,,103.5,.397,.378,.545,53.2,56.7,12.6,8.9,.509,19.4,36.3,.277
127,Lamar,29,15,14,.517,-3.47,-4.16,,7,11,,,,,,,,1936,1916,,,95.7,.460,.228,.499,52.7,42.0,10.3,5.0,.459,20.3,38.6,.300
128,Lehigh,27,10,17,.370,-15.71,-7.47,,4,8,,,,,,,,1915,2089,,,94.9,.409,.282,.495,49.7,50.4,11.2,5.5,.459,17.8,34.4,.265
129,Liberty,28,11,17,.393,-14.72,-8.26,,5,7,,,,,,,,1800,1930,,,97.3,.383,.346,.534,47.2,58.6,11.4,5.7,.498,21.8,33.8,.268
130,Long Beach State,29,10,19,.345,-8.51,-2.72,,5,11,,,,,,,,1850,2018,,,92.0,.365,.255,.489,49.1,51.4,9.2,12.0,.460,20.2,34.0,.228
131,Long Island University,32,21,11,.656,2.62,-2.04,,14,2,,,,,,,,3102,2776,,,109.6,.316,.354,.512,49.4,50.6,16.9,6.2,.500,13.9,40.6,.177
132,Louisiana,31,18,13,.581,-0.28,-1.44,,12,6,,,,,,,,2336,2280,,,103.5,.415,.346,.522,49.1,53.8,12.6,4.6,.487,17.2,36.9,.276
133,Louisiana-Monroe,29,13,16,.448,-8.09,-4.34,,8,8,,,,,,,,2263,2433,,,98.7,.403,.265,.524,48.7,50.7,12.5,7.7,.493,20.0,39.1,.262
134,Louisiana State,27,9,18,.333,1.08,6.20,,2,14,,,,,,,,1680,1765,,,92.7,.434,.312,.511,52.3,54.2,9.2,4.3,.476,22.8,36.9,.280
135,Louisiana Tech,27,12,15,.444,-1.41,-2.81,,9,9,,,,,,,,1849,1811,,,100.9,.418,.282,.539,54.1,49.7,11.0,3.6,.508,20.6,37.9,.276
136,Louisville,32,12,20,.375,7.90,9.03,,5,11,,,,,,,,2267,2303,,,98.4,.288,.342,.523,48.3,60.5,10.4,8.7,.501,20.7,36.7,.188
137,Loyola (IL),30,15,15,.500,-4.99,-1.34,,6,8,,,,,,,,1997,2046,,,98.1,.382,.258,.504,50.7,57.4,11.0,7.8,.467,18.6,36.2,.256
138,Loyola Marymount,27,7,20,.259,-6.97,1.45,,3,11,,,,,,,,1994,2209,,,95.9,.351,.396,.511,47.7,55.6,9.7,8.4,.478,19.4,32.4,.235
139,Loyola (MD),28,12,16,.429,-3.20,-0.56,,9,9,,,,,,,,2143,2217,,,99.1,.473,.276,.539,49.7,52.8,11.6,5.1,.491,21.3,35.2,.340
140,Maine,27,7,20,.259,-13.65,-4.09,,4,14,,,,,,,,1920,2068,,,94.2,.308,.364,.507,46.9,57.2,11.3,5.0,.480,20.5,32.2,.201
141,Manhattan,29,12,17,.414,-4.72,-0.89,,7,11,,,,,,,,1903,2014,,,98.0,.378,.344,.527,50.3,61.7,9.6,7.0,.493,20.1,33.5,.257
142,Marist,28,11,17,.393,-7.20,-3.52,,7,11,,,,,,,,1939,2042,,,101.9,.416,.252,.524,45.3,51.6,10.7,8.3,.481,17.0,32.9,.292
143,Marquette,31,20,11,.645,10.55,5.26,,8,8,,,,,,,,2024,1860,,,97.7,.332,.371,.501,53.4,55.7,10.2,9.8,.467,19.3,39.0,.225
144,Marshall,27,11,16,.407,-2.98,0.62,,7,11,,,,,,,,1882,1875,,,100.8,.302,.323,.534,49.0,54.0,10.0,8.5,.509,19.8,35.1,.203
145,Maryland-Baltimore County,28,14,14,.500,-11.01,-9.37,,6,6,,,,,,,,1978,1991,,,99.5,.373,.333,.532,50.4,60.3,10.3,7.2,.494,20.0,33.2,.266
146,Maryland-Eastern Shore,27,9,18,.333,-16.17,-11.39,,7,11,,,,,,,,1838,1967,,,91.4,.422,.212,.485,49.3,37.6,13.2,4.1,.445,20.1,35.4,.275
147,Maryland NCAA,32,21,11,.656,18.79,12.10,,10,6,,,,,,,,2520,2306,,,102.4,.403,.242,.537,51.3,66.3,11.2,12.2,.503,18.3,35.4,.273
148,Massachusetts NCAA,32,21,11,.656,11.99,7.27,,12,4,,,,,,,,2231,2080,,,104.0,.380,.179,.517,54.2,54.3,9.2,13.3,.478,18.1,42.8,.266
149,McNeese State,26,7,19,.269,-16.44,-7.72,,4,12,,,,,,,,1817,2026,,,97.3,.354,.363,.523,46.2,58.0,11.8,7.4,.492,20.5,33.8,.237
150,Memphis,29,17,12,.586,8.04,5.56,,12,4,,,,,,,,2151,2079,,,99.1,.422,.262,.533,48.6,51.6,13.4,7.3,.506,20.3,34.0,.268
151,Mercer,26,5,21,.192,-19.23,-8.73,,2,14,,,,,,,,1767,1989,,,95.4,.327,.339,.490,48.9,49.3,9.8,4.7,.463,19.2,37.7,.207
